,Customer ID,Gender,Age,Senior Citizen,Married,Dependents,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Churn
23,0623-IIHUG,Female,77,Yes,No,No,21,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,Yes
24,9057-MSWCO,Male,71,Yes,Yes,No,27,No,No,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,Yes
25,4895-TMWIR,Male,79,Yes,Yes,No,11,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,Yes
26,0533-BNWKF,Female,66,Yes,Yes,No,55,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,Yes
27,0334-GDDSO,Male,77,Yes,No,No,3,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,Yes
28,5564-NEMQO,Female,80,Yes,No,No,1,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,Yes
29,6235-VDHOM,Female,77,Yes,No,No,5,No,No,Yes,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,28.45,131.05,Yes
30,5609-CEBID,Female,77,Yes,No,No,20,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,Yes
31,5956-VKDTT,Female,72,Yes,Yes,No,5,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,Yes
32,0257-ZESQC,Female,80,Yes,Yes,No,27,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,Yes
33,2865-TCHJW,Female,74,Yes,No,No,4,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,Yes
34,5192-EBGOV,Female,68,Yes,No,No,1,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,Yes
35,3419-SNJJD,Female,78,Yes,Yes,No,65,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,Yes
36,4554-YGZIH,Male,75,Yes,Yes,No,49,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,Yes
37,5099-BAILX,Male,77,Yes,Yes,No,43,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,Yes
38,4913-EHYUI,Male,80,Yes,Yes,No,56,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,Yes
39,1626-ERCMM,Male,75,Yes,Yes,No,20,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,Yes
40,5644-PDMZC,Female,69,Yes,No,No,2,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,Yes
41,4160-AMJTL,Female,74,Yes,No,No,8,Yes,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,Yes
42,0823-HSCDJ,Male,76,Yes,No,No,52,No,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,Yes
43,0067-DKWBL,Male,69,Yes,No,No,2,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,Yes
44,5244-IRFIH,Male,72,Yes,Yes,No,33,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,Yes
45,2684-EIWEO,Female,69,Yes,No,No,30,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Month-to-Month,No,Credit Card,91.7,2758.15,Yes
46,6683-VLCTZ,Male,73,Yes,No,No,20,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,Yes
47,0691-IFBQW,Female,65,Yes,No,No,46,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,Yes
48,3643-AHCFP,Male,74,Yes,Yes,No,7,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,Yes
49,9231-ZJYAM,Female,65,Yes,No,No,4,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,Yes
50,0727-BMPLR,Female,66,Yes,No,No,55,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,100.0,5509.3,Yes
51,0947-MUGVO,Male,71,Yes,Yes,No,20,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,Yes
52,0781-LKXBR,Male,65,Yes,No,No,9,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,Yes
53,1907-UBQFC,Male,69,Yes,No,No,10,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,Yes
54,6513-EECDB,Male,75,Yes,Yes,No,1,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,Yes
55,7074-IEVOJ,Female,75,Yes,No,No,3,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,Yes
56,4750-ZRXIU,Female,68,Yes,No,No,4,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,Yes
57,7028-DVOIQ,Male,71,Yes,No,No,35,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,Yes
58,4208-UFFGW,Male,80,Yes,No,No,2,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Credit Card,44.95,85.15,Yes
59,9889-TMAHG,Male,66,Yes,No,No,8,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,Yes
60,8919-FYFQZ,Male,73,Yes,Yes,No,44,No,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,Yes
61,6646-QVXLR,Male,77,Yes,Yes,No,62,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,Yes
62,9369-XFEHK,Female,76,Yes,Yes,No,33,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,Yes
63,1374-DMZUI,Female,65,Yes,No,No,4,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,Yes
64,1989-PRJHP,Male,75,Yes,Yes,No,27,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,Yes
65,4822-RVYBB,Male,75,Yes,No,No,8,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,Yes
66,4184-TJFAN,Female,68,Yes,Yes,No,3,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,88.3,273.75,Yes
67,4145-UQXUQ,Female,71,Yes,No,No,8,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,Yes
68,1236-WFCDV,Male,74,Yes,No,No,14,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,Yes
69,1271-SJBGZ,Male,77,Yes,No,No,12,No,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,Yes
70,4441-NIHPT,Female,73,Yes,No,No,13,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,Yes
71,8999-BOHSE,Female,68,Yes,No,No,11,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,Yes
72,7029-RPUAV,Male,74,Yes,Yes,No,17,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,Yes
73,8111-SLLHI,Male,65,Yes,Yes,No,39,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,Yes
74,5293-WXJAK,Female,73,Yes,Yes,No,11,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,Yes
75,4086-YQSNZ,Female,74,Yes,Yes,No,3,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,Yes
76,8399-YNDCH,Male,80,Yes,No,No,21,Yes,No,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,Yes
77,5565-FILXA,Female,76,Yes,No,No,16,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,Yes
78,4187-CINZD,Female,73,Yes,No,No,46,Yes,No,Yes,No,Yes,No,No,Yes,Yes,One Year,No,Credit Card,95.25,4424.2,Yes
79,6818-WOBHJ,Female,70,Yes,Yes,No,68,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,Yes
80,9134-CEQMF,Male,75,Yes,Yes,No,7,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,Yes
81,8519-IMDHU,Male,74,Yes,Yes,No,15,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,Yes
82,3372-KWFBM,Male,76,Yes,No,No,16,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,Yes
83,7206-GZCDC,Female,75,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,Yes
84,1768-ZAIFU,Female,74,Yes,No,No,1,No,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,Yes
85,3793-MMFUH,Female,73,Yes,No,No,13,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,Yes
86,6567-HOOPW,Female,69,Yes,No,No,1,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,Yes
87,8621-MNIHH,Female,75,Yes,Yes,No,34,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,Yes
88,5419-CONWX,Female,65,Yes,No,No,4,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,Yes
89,7024-OHCCK,Female,77,Yes,No,No,2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,Yes
90,5357-TZHPP,Male,67,Yes,No,No,9,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,Yes
91,0506-LVNGN,Female,78,Yes,No,No,5,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,75.55,349.65,Yes
92,9809-IMGCQ,Male,65,Yes,No,No,22,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,Yes
93,3254-YRILK,Male,74,Yes,No,No,19,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,Yes
94,0529-ONKER,Male,70,Yes,No,No,15,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,Yes
95,5240-IJOQT,Male,69,Yes,No,No,1,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,Yes
96,0661-XEYAN,Female,76,Yes,No,No,1,No,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,Yes
97,2660-EMUBI,Male,71,Yes,No,No,10,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,Yes
98,7675-OZCZG,Female,76,Yes,No,No,3,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1,Yes
99,9391-EOYLI,Male,77,Yes,Yes,No,12,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,Yes
100,2761-OCIAX,Male,74,Yes,No,No,2,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,Yes
101,3068-OMWZA,Male,77,Yes,No,No,1,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,Yes
102,4154-AQUGT,Male,76,Yes,Yes,No,13,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,Yes
103,8017-LXHFA,Female,77,Yes,No,No,23,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,Yes
104,4248-QPAVC,Female,80,Yes,Yes,No,17,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,Yes
105,4690-LLKUA,Male,68,Yes,No,No,17,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,Yes
106,9490-DFPMD,Female,79,Yes,No,No,42,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,Yes
107,8580-AECUZ,Male,65,Yes,No,No,1,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,Yes
108,5047-LHVLY,Male,68,Yes,No,No,1,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,50.15,50.15,Yes
109,8375-DKEBR,Female,72,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,Yes
110,7279-BUYWN,Female,66,Yes,No,No,41,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5,Yes
111,7156-MHUGY,Male,68,Yes,No,No,13,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.5,1201.15,Yes
112,9606-PBKBQ,Male,69,Yes,Yes,No,32,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2642.05,Yes
113,3536-IQCTX,Male,76,Yes,Yes,No,32,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1,Yes
114,3132-TVFDZ,Male,70,Yes,Yes,No,57,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2572.95,Yes
115,8080-DDEMJ,Male,71,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.1,45.1,Yes
116,6702-OHFWR,Male,75,Yes,No,No,1,No,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,Yes
117,4510-PYUSH,Female,67,Yes,No,No,38,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,57.15,2250.65,Yes
118,8840-DQLGN,Female,65,Yes,Yes,No,35,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35,Yes
119,4193-ORFCL,Female,80,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Credit Card,45.1,45.1,Yes
120,7776-QWNFX,Male,71,Yes,Yes,No,30,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,Yes
121,6689-TCZHQ,Female,70,Yes,No,No,5,Yes,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,378.4,Yes
122,9497-QCMMS,Male,73,Yes,No,No,1,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55,Yes
123,3424-NMNBO,Male,78,Yes,Yes,No,58,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,108.85,6287.25,Yes
124,4514-GFCFI,Female,76,Yes,No,No,16,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15,Yes
125,8000-REIQB,Female,73,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95,Yes
126,4795-KTRTH,Female,68,Yes,Yes,No,5,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65,Yes
127,9961-JBNMK,Male,79,Yes,No,No,21,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2030.3,Yes
128,6179-GJPSO,Female,67,Yes,No,No,43,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,4600.7,Yes
129,8290-YWKHZ,Female,69,Yes,Yes,No,32,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.2,2931.0,Yes
130,8051-HJRLT,Female,72,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,Yes
131,4021-RQSNY,Male,75,Yes,Yes,No,29,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,3004.15,Yes
132,9061-TIHDA,Male,67,Yes,Yes,No,13,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1233.65,Yes
133,8699-ASUFO,Male,72,Yes,Yes,No,7,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,74.4,527.9,Yes
134,4695-WJZUE,Female,68,Yes,No,No,2,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,179.25,Yes
135,3988-RQIXO,Female,68,Yes,No,No,1,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,91.3,Yes
136,5931-FLJJF,Male,75,Yes,Yes,No,7,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,70.1,467.55,Yes
137,3207-OYBWH,Male,74,Yes,Yes,No,57,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,5427.05,Yes
138,7216-EWTRS,Female,78,Yes,Yes,No,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,100.8,Yes
139,2528-HFYZX,Male,66,Yes,Yes,No,17,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.45,1233.4,Yes
140,4140-MUHUG,Female,73,Yes,No,No,3,Yes,No,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,86.85,220.95,Yes
141,1587-FKLZB,Male,79,Yes,Yes,No,66,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,99.5,6822.15,Yes
142,5440-FLBQG,Male,69,Yes,Yes,No,69,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,Yes
143,2774-LVQUS,Female,65,Yes,Yes,No,15,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,83.05,1258.3,Yes
144,4612-THJBS,Female,68,Yes,No,No,56,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,104.75,5510.65,Yes
145,4094-NSEDU,Female,79,Yes,No,No,21,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,1973.75,Yes
146,1846-XWOQN,Female,80,Yes,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.15,70.15,Yes
147,3757-NJYBX,Male,77,Yes,Yes,No,32,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,106.35,3520.75,Yes
148,9898-KZQDZ,Female,65,Yes,Yes,No,40,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,94.55,3640.45,Yes
149,8263-JQAIK,Male,66,Yes,No,No,2,No,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,24.45,47.5,Yes
150,2205-YMZZJ,Male,75,Yes,No,No,7,Yes,Yes,Yes,No,No,No,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,84.8,546.95,Yes
151,1254-IZEYF,Female,74,Yes,No,No,31,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.95,3186.65,Yes
152,9221-OTIVJ,Female,80,Yes,No,No,14,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.85,1531.4,Yes
153,5908-QMGOE,Male,74,Yes,No,No,15,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,74.2,1133.9,Yes
154,0397-GZBBC,Male,70,Yes,Yes,No,59,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,Yes
155,7641-EUYET,Male,76,Yes,Yes,No,46,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.7,4541.2,Yes
156,8922-LIEGH,Female,72,Yes,No,No,25,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.7,2187.55,Yes
